gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
3,0.016076650,16076650,L4,1,512,8,8
8,0.017135682,17135682,S2,1,256,4,4
18,0.018021860,18021860,S2,2,256,4,4
13,0.019117296,19117296,L4,2,512,8,8
28,0.021412330,21412330,S2,3,256,4,4
23,0.021442366,21442366,L4,3,512,8,8
33,0.023444623,23444623,L4,4,512,8,8
1,0.024530396,24530396,L2,1,512,8,8
38,0.025642368,25642368,S2,4,256,4,4
48,0.025843636,25843636,S2,5,256,4,4
43,0.026104053,26104053,L4,5,512,8,8
0,0.026542520,26542520,L1,1,512,8,8
53,0.027040248,27040248,L4,6,512,8,8
11,0.027179124,27179124,L2,2,512,8,8
10,0.027784552,27784552,L1,2,512,8,8
58,0.028091800,28091800,S2,6,256,4,4
20,0.029008534,29008534,L1,3,512,8,8
30,0.029814805,29814805,L1,4,512,8,8
21,0.029861964,29861964,L2,3,512,8,8
5,0.031135437,31135437,M2,1,320,5,5
63,0.031983267,31983267,L4,7,512,8,8
31,0.032034780,32034780,L2,4,512,8,8
68,0.032554238,32554238,S2,7,256,4,4
41,0.032693554,32693554,L2,5,512,8,8
51,0.033321873,33321873,L2,6,512,8,8
40,0.034514900,34514900,L1,5,512,8,8
15,0.034889630,34889630,M2,2,320,5,5
73,0.036074807,36074807,L4,8,512,8,8
78,0.036302331,36302331,S2,8,256,4,4
4,0.037080732,37080732,M1,1,320,5,5
61,0.038083122,38083122,L2,7,512,8,8
25,0.038857807,38857807,M2,3,320,5,5
50,0.038954844,38954844,L1,6,512,8,8
14,0.039424528,39424528,M1,2,320,5,5
35,0.039917580,39917580,M2,4,320,5,5
24,0.040188914,40188914,M1,3,320,5,5
71,0.040493275,40493275,L2,8,512,8,8
60,0.042841637,42841637,L1,7,512,8,8
45,0.044536497,44536497,M2,5,320,5,5
34,0.044792243,44792243,M1,4,320,5,5
70,0.045429945,45429945,L1,8,512,8,8
7,0.046092623,46092623,S1,1,256,4,4
44,0.046499178,46499178,M1,5,320,5,5
55,0.046726445,46726445,M2,6,320,5,5
54,0.046749712,46749712,M1,6,320,5,5
2,0.047660276,47660276,L3,1,512,8,8
17,0.047688405,47688405,S1,2,256,4,4
64,0.048461730,48461730,M1,7,320,5,5
12,0.048478161,48478161,L3,2,512,8,8
9,0.049590386,49590386,S3,1,256,4,4
6,0.049668425,49668425,M3,1,320,5,5
65,0.049921513,49921513,M2,7,320,5,5
75,0.049933057,49933057,M2,8,320,5,5
16,0.051072907,51072907,M3,2,320,5,5
22,0.051250243,51250243,L3,3,512,8,8
27,0.051319306,51319306,S1,3,256,4,4
26,0.051383222,51383222,M3,3,320,5,5
19,0.052247455,52247455,S3,2,256,4,4
32,0.052288830,52288830,L3,4,512,8,8
74,0.052434015,52434015,M1,8,320,5,5
42,0.053554753,53554753,L3,5,512,8,8
37,0.053624803,53624803,S1,4,256,4,4
36,0.053674533,53674533,M3,4,320,5,5
52,0.053705026,53705026,L3,6,512,8,8
62,0.054299792,54299792,L3,7,512,8,8
46,0.054319683,54319683,M3,5,320,5,5
56,0.055081316,55081316,M3,6,320,5,5
29,0.055547433,55547433,S3,3,256,4,4
47,0.056924559,56924559,S1,5,256,4,4
39,0.057059835,57059835,S3,4,256,4,4
66,0.058242730,58242730,M3,7,320,5,5
72,0.058884034,58884034,L3,8,512,8,8
57,0.059923036,59923036,S1,6,256,4,4
76,0.060207367,60207367,M3,8,320,5,5
49,0.061797513,61797513,S3,5,256,4,4
67,0.062286956,62286956,S1,7,256,4,4
59,0.063629190,63629190,S3,6,256,4,4
77,0.067037261,67037261,S1,8,256,4,4
69,0.067321744,67321744,S3,7,256,4,4
79,0.069337445,69337445,S3,8,256,4,4
