gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
0,0.000000000,0,L1,1,512,8,8
1,0.000000000,0,L2,1,512,8,8
2,0.000000000,0,L3,1,512,8,8
3,0.000000000,0,L4,1,512,8,8
4,0.000000000,0,M1,1,320,5,5
5,0.000000000,0,M2,1,320,5,5
6,0.000000000,0,M3,1,320,5,5
7,0.000000000,0,S1,1,256,4,4
8,0.000000000,0,S2,1,256,4,4
9,0.000000000,0,S3,1,256,4,4
12,0.000817884,817884,L3,2,512,8,8
18,0.000886178,886178,S2,2,256,4,4
10,0.001242032,1242032,L1,2,512,8,8
16,0.001404482,1404482,M3,2,320,5,5
17,0.001595782,1595782,S1,2,256,4,4
26,0.001714797,1714797,M3,3,320,5,5
14,0.002343796,2343796,M1,2,320,5,5
20,0.002466015,2466015,L1,3,512,8,8
11,0.002648728,2648728,L2,2,512,8,8
19,0.002657069,2657069,S3,2,256,4,4
13,0.003040646,3040646,L4,2,512,8,8
24,0.003108182,3108182,M1,3,320,5,5
30,0.003272285,3272285,L1,4,512,8,8
22,0.003589967,3589967,L3,3,512,8,8
15,0.003754193,3754193,M2,2,320,5,5
36,0.004006108,4006108,M3,4,320,5,5
28,0.004276648,4276648,S2,3,256,4,4
32,0.004628553,4628553,L3,4,512,8,8
46,0.004651258,4651258,M3,5,320,5,5
27,0.005226683,5226683,S1,3,256,4,4
21,0.005331568,5331568,L2,3,512,8,8
23,0.005365717,5365717,L4,3,512,8,8
56,0.005412892,5412892,M3,6,320,5,5
42,0.005894476,5894476,L3,5,512,8,8
29,0.005957048,5957048,S3,3,256,4,4
52,0.006044749,6044749,L3,6,512,8,8
62,0.006639516,6639516,L3,7,512,8,8
33,0.007367973,7367973,L4,4,512,8,8
39,0.007469449,7469449,S3,4,256,4,4
31,0.007504384,7504384,L2,4,512,8,8
37,0.007532180,7532180,S1,4,256,4,4
34,0.007711511,7711511,M1,4,320,5,5
25,0.007722370,7722370,M2,3,320,5,5
40,0.007972380,7972380,L1,5,512,8,8
41,0.008163158,8163158,L2,5,512,8,8
38,0.008506686,8506686,S2,4,256,4,4
66,0.008574306,8574306,M3,7,320,5,5
48,0.008707954,8707954,S2,5,256,4,4
35,0.008782143,8782143,M2,4,320,5,5
51,0.008791477,8791477,L2,6,512,8,8
44,0.009418447,9418447,M1,5,320,5,5
54,0.009668980,9668980,M1,6,320,5,5
43,0.010027403,10027403,L4,5,512,8,8
76,0.010538943,10538943,M3,8,320,5,5
47,0.010831937,10831937,S1,5,256,4,4
58,0.010956118,10956118,S2,6,256,4,4
53,0.010963598,10963598,L4,6,512,8,8
72,0.011223758,11223758,L3,8,512,8,8
64,0.011380999,11380999,M1,7,320,5,5
49,0.012207127,12207127,S3,5,256,4,4
50,0.012412324,12412324,L1,6,512,8,8
45,0.013401059,13401059,M2,5,320,5,5
61,0.013552726,13552726,L2,7,512,8,8
57,0.013830414,13830414,S1,6,256,4,4
59,0.014038804,14038804,S3,6,256,4,4
74,0.015353284,15353284,M1,8,320,5,5
68,0.015418556,15418556,S2,7,256,4,4
55,0.015591007,15591007,M2,6,320,5,5
63,0.015906618,15906618,L4,7,512,8,8
71,0.015962880,15962880,L2,8,512,8,8
67,0.016194333,16194333,S1,7,256,4,4
60,0.016299118,16299118,L1,7,512,8,8
69,0.017731358,17731358,S3,7,256,4,4
65,0.018786076,18786076,M2,7,320,5,5
75,0.018797620,18797620,M2,8,320,5,5
70,0.018887425,18887425,L1,8,512,8,8
78,0.019166649,19166649,S2,8,256,4,4
79,0.019747059,19747059,S3,8,256,4,4
73,0.019998157,19998157,L4,8,512,8,8
77,0.020944639,20944639,S1,8,256,4,4
