gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
3,0.024114974,24114974,L4,1,512,8,8
8,0.025703523,25703523,S2,1,256,4,4
18,0.026589701,26589701,S2,2,256,4,4
13,0.027155620,27155620,L4,2,512,8,8
23,0.029480691,29480691,L4,3,512,8,8
28,0.029980171,29980171,S2,3,256,4,4
33,0.031482947,31482947,L4,4,512,8,8
43,0.034142378,34142378,L4,5,512,8,8
38,0.034210209,34210209,S2,4,256,4,4
48,0.034411478,34411478,S2,5,256,4,4
53,0.035078572,35078572,L4,6,512,8,8
58,0.036659641,36659641,S2,6,256,4,4
1,0.036795594,36795594,L2,1,512,8,8
11,0.039444322,39444322,L2,2,512,8,8
0,0.039813780,39813780,L1,1,512,8,8
63,0.040021592,40021592,L4,7,512,8,8
10,0.041055812,41055812,L1,2,512,8,8
68,0.041122079,41122079,S2,7,256,4,4
21,0.042127162,42127162,L2,3,512,8,8
20,0.042279794,42279794,L1,3,512,8,8
30,0.043086064,43086064,L1,4,512,8,8
73,0.044113131,44113131,L4,8,512,8,8
31,0.044299977,44299977,L2,4,512,8,8
78,0.044870173,44870173,S2,8,256,4,4
41,0.044958752,44958752,L2,5,512,8,8
51,0.045587071,45587071,L2,6,512,8,8
5,0.046703156,46703156,M2,1,320,5,5
40,0.047786159,47786159,L1,5,512,8,8
61,0.050348319,50348319,L2,7,512,8,8
15,0.050457349,50457349,M2,2,320,5,5
50,0.052226104,52226104,L1,6,512,8,8
71,0.052758473,52758473,L2,8,512,8,8
25,0.054425526,54425526,M2,3,320,5,5
35,0.055485299,55485299,M2,4,320,5,5
4,0.055621097,55621097,M1,1,320,5,5
60,0.056112897,56112897,L1,7,512,8,8
14,0.057964894,57964894,M1,2,320,5,5
70,0.058701205,58701205,L1,8,512,8,8
24,0.058729280,58729280,M1,3,320,5,5
45,0.060104215,60104215,M2,5,320,5,5
55,0.062294163,62294163,M2,6,320,5,5
34,0.063332609,63332609,M1,4,320,5,5
44,0.065039544,65039544,M1,5,320,5,5
54,0.065290078,65290078,M1,6,320,5,5
65,0.065489232,65489232,M2,7,320,5,5
75,0.065500775,65500775,M2,8,320,5,5
64,0.067002096,67002096,M1,7,320,5,5
7,0.069138934,69138934,S1,1,256,4,4
17,0.070734716,70734716,S1,2,256,4,4
74,0.070974381,70974381,M1,8,320,5,5
2,0.071490414,71490414,L3,1,512,8,8
12,0.072308299,72308299,L3,2,512,8,8
27,0.074365617,74365617,S1,3,256,4,4
9,0.074385579,74385579,S3,1,256,4,4
6,0.074502637,74502637,M3,1,320,5,5
22,0.075080382,75080382,L3,3,512,8,8
16,0.075907119,75907119,M3,2,320,5,5
32,0.076118968,76118968,L3,4,512,8,8
26,0.076217435,76217435,M3,3,320,5,5
37,0.076671114,76671114,S1,4,256,4,4
19,0.077042648,77042648,S3,2,256,4,4
42,0.077384891,77384891,L3,5,512,8,8
52,0.077535164,77535164,L3,6,512,8,8
62,0.078129930,78129930,L3,7,512,8,8
36,0.078508745,78508745,M3,4,320,5,5
46,0.079153895,79153895,M3,5,320,5,5
56,0.079915529,79915529,M3,6,320,5,5
47,0.079970871,79970871,S1,5,256,4,4
29,0.080342626,80342626,S3,3,256,4,4
39,0.081855028,81855028,S3,4,256,4,4
72,0.082714172,82714172,L3,8,512,8,8
57,0.082969347,82969347,S1,6,256,4,4
66,0.083076943,83076943,M3,7,320,5,5
76,0.085041580,85041580,M3,8,320,5,5
67,0.085333267,85333267,S1,7,256,4,4
49,0.086592706,86592706,S3,5,256,4,4
59,0.088424383,88424383,S3,6,256,4,4
77,0.090083573,90083573,S1,8,256,4,4
69,0.092116937,92116937,S3,7,256,4,4
79,0.094132638,94132638,S3,8,256,4,4
