model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[8,17,23,25,26,27,29,32,33,34,35,36,38,41,42,43,45,46,48,50,54,57,60,61,63,64,65,66,69,71,72,73,74,75,76,77]","[518,598,591,534,205,334,583,535]|[599,615,69,486,335,295,582,263]|[607,519,391,206,341,190,606,278]|[495,375,223,222,487,311,493,559]|[622,614,287,271,70,143,191,366]|[215,407,438,511,270,527,239,575]|[207,558,342,262,463,623,590,343]|[279,351,439,526,261,494,367,71]"
L2,L,64,8,64,36,0.500000,"[1,2,3,7,9,10,13,17,19,20,22,24,25,26,27,29,30,31,33,34,38,42,46,47,48,59,61,63,64,66,68,72,74,76,78,79]","[141,214,255,204,638,110,142,382]|[254,383,309,31,639,63,517,533]|[596,551,310,220,509,631,374,479]|[580,612,183,276,389,613,268,23]|[77,510,203,581,167,388,159,221]|[247,238,79,275,338,492,390,15]|[269,246,508,87,78,182,14,340]|[277,339,22,491,111,199,597,166]"
L3,L,64,8,64,36,0.500000,"[0,1,3,4,6,7,8,11,13,15,16,20,23,24,28,29,31,32,34,35,36,37,39,42,44,46,50,52,53,57,59,60,64,65,70,72]","[195,477,462,231,67,459,62,196]|[30,301,253,485,567,460,189,260]|[319,7,127,294,359,431,108,54]|[358,318,29,235,230,303,423,286]|[165,68,516,13,525,373,285,188]|[337,135,292,55,38,197,39,579]|[198,94,274,236,134,357,95,302]|[109,406,237,478,422,461,293,484]"
L4,L,64,8,64,36,0.500000,"[2,3,4,5,8,18,19,21,25,27,32,33,34,35,37,38,39,40,41,47,50,53,54,56,57,58,59,64,65,69,70,72,73,75,76,79]","[202,316,636,515,332,566,557,457]|[404,317,405,284,468,381,201,257]|[47,524,66,258,469,611,158,259]|[273,46,467,308,151,471,470,21]|[28,437,315,458,380,45,157,174]|[430,307,455,453,314,37,476,333]|[331,578,267,637,454,325,589,605]|[219,327,300,429,588,175,326,587]"
M1,M,40,5,40,22,0.485714,"[3,5,6,7,11,13,19,32,33,34,35,37,38,43,44,51,59,61,68,71,76,77]","[53,25,414,356,282]|[473,550,61,549,26]|[412,573,266,353,27]|[272,44,610,490,574]|[155,156,43,354,413]|[621,474,154,299,107]|[256,93,306,348,283]|[349,415,350,475,355]"
M2,M,40,5,40,22,0.485714,"[0,1,2,5,10,12,17,19,24,25,26,31,48,49,50,51,56,64,65,67,73,74]","[543,42,212,585,386]|[402,20,213,11,522]|[138,411,387,139,200]|[211,594,12,85,523]|[399,153,194,251,103]|[595,398,513,6,41]|[542,252,403,514,452]|[102,140,193,586,86]"
M3,M,40,6,40,23,0.500000,"[1,5,8,10,14,15,17,19,27,33,41,43,45,47,53,55,57,60,67,74,76,77,79]","[456,428,40,635,119]|[609,446,379,152,345]|[137,540,117,10,84]|[447,346,541,365,364]|[482,126,218,483,620]|[65,265,445,9,427]|[444,118,347,329,217]|[634,83,330,593,125]"
S1,S,32,5,32,18,0.481481,"[0,9,18,24,29,30,39,40,49,52,53,54,66,67,69,73,76,78]","[394,584,313,630]|[76,436,532,435]|[629,628,539,396]|[148,395,149,312]|[397,426,245,538]|[608,324,234,5]|[556,150,147,421]|[3,555,192,4]"
S2,S,32,5,32,18,0.481481,"[4,8,15,16,20,22,23,26,28,30,38,46,51,61,65,70,74,75]","[565,180,488,305]|[186,229,133,371]|[489,592,64,210]|[244,123,369,370]|[372,181,209,521]|[410,604,603,187]|[164,132,36,185]|[35,228,243,124]"
S3,S,32,6,32,19,0.500000,"[2,7,13,18,28,36,37,40,42,43,44,46,50,51,62,67,68,69,78]","[401,146,60,554]|[225,322,502,352]|[59,503,400,547]|[546,19,226,298]|[336,291,501,106]|[105,321,368,626]|[227,323,344,409]|[18,627,548,537]"
