model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[1,4,5,8,9,12,20,24,25,27,28,30,32,38,39,42,45,46,48,50,52,54,58,59,62,63,64,65,66,68,70,72,74,75,78,79]","[78,167,519,375,501,510,231,607]|[525,77,566,407,222,527,311,103]|[15,479,518,79,423,478,477,437]|[39,207,366,598,367,638,502,206]|[263,599,38,421,317,47,526,630]|[471,71,567,631,319,102,247,503]|[343,422,318,511,551,583,391,246]|[535,199,310,438,639,439,223,374]"
L2,L,64,8,64,36,0.500000,"[9,10,11,13,15,18,22,23,25,26,28,31,33,36,38,39,41,43,45,47,50,52,53,56,57,58,59,61,65,66,67,68,75,76,78,79]","[494,629,150,614,383,430,205,419]|[523,382,271,229,365,462,95,541]|[364,127,111,470,476,550,549,86]|[351,191,151,149,190,542,87,495]|[431,94,455,406,420,255,469,294]|[615,461,524,316,110,315,463,606]|[76,335,475,637,126,533,230,183]|[309,534,182,543,254,295,215,293]"
L3,L,64,8,64,36,0.500000,"[0,2,6,9,12,13,15,16,18,20,21,22,23,24,25,26,32,34,37,39,40,43,44,48,51,54,57,59,62,63,68,69,72,74,75,78]","[180,134,558,165,55,314,125,74]|[581,175,628,359,412,132,326,187]|[7,203,559,548,597,415,109,54]|[509,413,188,6,279,327,23,133]|[474,204,107,198,101,302,108,313]|[582,459,500,414,435,166,390,135]|[605,214,303,213,262,436,53,458]|[596,460,148,358,350,181,75,189]"
L4,L,64,8,64,36,0.500000,"[0,1,3,7,8,10,11,16,17,18,20,22,24,25,26,28,32,33,35,37,38,39,40,41,44,46,49,59,60,61,65,67,68,70,71,78]","[4,398,268,522,333,287,164,69]|[312,228,565,142,332,197,261,93]|[539,31,62,308,212,3,493,397]|[486,334,85,270,307,147,574,30]|[626,373,396,12,299,300,61,14]|[473,63,202,269,163,301,179,487]|[547,372,575,540,286,399,357,70]|[564,325,627,324,13,131,5,143]"
L5,L,64,9,64,36,0.490909,"[2,3,4,5,9,10,12,13,17,21,22,26,27,28,29,31,32,36,38,40,47,52,53,54,57,58,62,63,64,65,66,67,68,71,73,75]","[603,238,323,499,292,173,591,418]|[73,531,521,260,434,211,221,429]|[380,210,466,83,457,45,100,177]|[29,530,467,239,532,306,291,604]|[573,99,516,305,141,227,546,174]|[538,572,379,178,22,98,21,468]|[417,590,106,428,140,508,253,46]|[36,84,381,517,176,37,252,456]"
L6,L,64,9,64,36,0.490909,"[0,4,8,10,15,16,17,18,19,20,21,23,25,27,28,30,31,34,35,38,42,44,46,47,49,50,53,60,62,63,65,71,73,74,75,76]","[185,356,130,613,156,244,68,484]|[341,496,284,184,601,570,157,600]|[571,162,342,250,378,1,186,158]|[507,482,602,520,219,278,377,159]|[588,124,498,485,2,201,220,285]|[139,146,404,218,427,595,497,35]|[483,245,200,283,226,81,371,394]|[82,304,277,395,589,172,251,405]"
L7,L,64,10,64,37,0.500000,"[1,3,4,5,7,8,12,14,17,18,19,21,26,27,28,29,31,33,34,36,40,41,44,47,48,49,51,59,60,66,67,70,73,76,77,78,79]","[170,225,217,612,43,321,59,44]|[587,117,563,137,411,209,472,289]|[529,481,155,265,621,622,60,119]|[635,623,290,34,625,266,636,620]|[145,611,410,138,537,249,27,536]|[216,97,67,322,28,267,376,237]|[624,33,331,118,388,11,389,355]|[480,171,393,330,528,10,276,409]"
L8,L,64,12,64,38,0.500000,"[1,3,6,7,8,9,10,12,13,14,15,20,21,24,26,29,33,34,36,40,41,43,44,46,52,53,54,56,58,61,63,64,68,69,71,73,74,79]","[26,66,208,329,116,594,354,196]|[544,195,122,320,426,569,633,515]|[96,9,58,121,288,491,349,514]|[634,557,52,348,568,513,353,160]|[264,161,236,490,556,369,275,454]|[545,586,65,115,432,235,80,72]|[169,123,506,433,492,274,632,114]|[347,234,465,25,168,416,370,105]"
L9,L,64,14,50,32,0.500000,"[0,3,4,7,8,14,15,16,17,19,24,28,29,30,34,35,41,42,43,45,50,51,53,55,56,58,61,63,69,70,73,77]","[585,362,282,402,444,443,233,446]|[194,453,338,619,113,555,281,562]|[584,136,363,425,346,345,618,337]|[112,445,129,64,617,24,464,328]|[452,401,424,340,447,403,450,451]|[554,504,243,193,561,489,339,56]|[360,272,0,408,120,224,273,488]|[361,154,57,336,242,153,505,32]"
L10,L,64,31,31,31,0.000000,"[1,2,5,6,11,13,16,18,19,24,29,30,31,32,35,37,43,44,46,48,49,50,55,56,64,69,70,72,74,76,77]","[8,386,352,49,609,297,344,128]|[610,144,256,608,577,400,280,552]|[90,448,241,50,192,16,440,560]|[17,19,449,553,258,298,296,580]|[152,578,88,41,385,18,576,442]|[257,616,48,579,20,441,248,91]|[89,512,384,387,51,240,368,392]|[592,104,259,40,42,593,92,232]"
